years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
5,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,99216,20075,133,8,medium,69.4
6,buy_more,no_experience,save_half,monthly,retirement,335131,160158,1002,10,high,90.5
8,buy_more,no_never,save_half,monthly,wealth building,128161,24848,114,15,medium,88.5
2,sell_immediately,yes_always,spend_it,rarely,vacation,6903,2685,126,1,low,7.5
3,wait_and_see,no_experience,save_half,quarterly,save for a car,25878,12311,102,8,high,68.5
2,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,4546,503,75,1,low,16.4
8,wait_and_see,no_never,save_half,weekly,retirement,993238,457264,1896,12,high,100.0
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,7819,1084,124,2,low,18.6
4,buy_more,yes_sometimes,save_half,monthly,save for a car,20837,2462,81,8,medium,69.5
5,buy_more,yes_sometimes,invest_all,quarterly,buy a house,74055,14386,235,8,high,82.3
1,sell_immediately,no_experience,save_all,quarterly,save for a car,38813,9876,819,2,medium,32.1
3,wait_and_see,yes_sometimes,save_half,monthly,save for a car,45386,16703,124,7,high,64.4
4,wait_and_see,no_experience,save_half,monthly,save for a car,14408,4047,38,8,medium,67.0
1,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,10547,530,145,2,medium,11.9
5,wait_and_see,no_experience,save_half,monthly,buy a house,70395,18757,175,7,medium,63.9
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,14909,6681,105,3,medium,38.6
12,wait_and_see,no_experience,save_half,monthly,wealth building,125857,24335,264,12,medium,85.0
0,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,15492,3701,102,4,low,33.5
2,wait_and_see,yes_sometimes,save_half,rarely,save for a car,14776,1521,163,4,medium,50.6
5,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,93162,28151,392,7,medium,67.8
1,wait_and_see,yes_sometimes,save_all,rarely,vacation,9594,2076,227,1,medium,27.6
20,buy_more,no_never,invest_all,daily,wealth building,293511,25192,546,20,high,100.0
3,wait_and_see,no_experience,save_half,quarterly,buy a house,110565,28268,249,5,medium,62.1
12,buy_more,no_experience,save_half,weekly,retirement,447383,224697,697,12,medium,100.0
8,wait_and_see,no_never,save_half,weekly,wealth building,148444,48373,312,12,medium,99.0
0,wait_and_see,no_experience,save_half,quarterly,save for a car,13750,4395,54,3,low,40.2
5,buy_more,no_experience,save_half,quarterly,save for a car,13090,1320,74,5,medium,65.1
10,buy_more,no_never,invest_all,monthly,retirement,329765,56959,411,12,medium,100.0
8,wait_and_see,no_never,save_half,monthly,wealth building,480462,206922,1725,15,high,94.6
6,wait_and_see,no_experience,invest_all,weekly,wealth building,354154,114122,808,15,high,100.0
2,sell_immediately,yes_sometimes,save_half,rarely,save for a car,23925,7492,174,3,low,28.6
4,wait_and_see,no_experience,save_half,monthly,buy a house,143562,10632,589,5,medium,64.5
6,wait_and_see,no_experience,save_half,monthly,save for a car,12402,3277,39,7,medium,69.2
8,wait_and_see,no_never,save_half,weekly,retirement,297537,6019,1127,15,high,100.0
1,sell_immediately,no_experience,save_half,quarterly,save for a car,8552,2999,65,2,low,36.7
20,buy_more,no_never,invest_all,daily,wealth building,528158,45491,858,25,high,100.0
8,wait_and_see,no_never,invest_all,monthly,retirement,653353,529062,2122,10,high,100.0
6,wait_and_see,no_experience,invest_all,quarterly,buy a house,267941,44949,1614,8,high,80.5
12,wait_and_see,no_never,invest_all,monthly,retirement,1085504,129036,6875,15,high,100.0
4,buy_more,no_experience,save_half,quarterly,buy a house,101274,24588,622,5,medium,71.5
6,buy_more,yes_sometimes,save_half,monthly,buy a house,127213,26891,294,8,medium,75.5
4,wait_and_see,yes_sometimes,save_half,monthly,buy a house,212663,2393,1926,7,high,72.0
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,34294,750,167,7,medium,67.9
8,wait_and_see,no_experience,save_half,monthly,wealth building,474376,252408,1499,10,high,77.0
2,sell_immediately,yes_sometimes,save_half,rarely,save for a car,23237,5177,130,4,low,24.6
2,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,7758,444,48,2,low,26.9
6,buy_more,no_never,save_half,weekly,retirement,449777,86542,1380,12,medium,100.0
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,147335,31786,886,5,medium,69.3
5,wait_and_see,yes_sometimes,invest_all,quarterly,save for a car,24392,5022,153,7,medium,66.8
5,wait_and_see,no_experience,invest_all,quarterly,buy a house,195844,23642,2624,5,high,74.7
2,sell_immediately,yes_sometimes,spend_it,rarely,vacation,13761,146,189,2,medium,22.8
12,wait_and_see,no_never,save_half,weekly,wealth building,68778,11820,249,12,medium,93.2
2,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,18468,8551,120,3,medium,36.5
6,buy_more,no_experience,save_half,quarterly,buy a house,58803,13695,150,5,medium,76.2
6,buy_more,no_never,save_half,monthly,wealth building,133305,6704,320,15,medium,96.0
6,wait_and_see,no_never,invest_all,weekly,retirement,549291,97807,2674,10,medium,99.6
20,buy_more,no_never,invest_all,weekly,wealth building,340883,201607,1020,20,high,100.0
1,wait_and_see,yes_sometimes,save_half,quarterly,emergency fund,11199,874,79,2,low,24.7
8,buy_more,no_experience,invest_all,monthly,retirement,445694,124890,1439,15,medium,100.0
6,buy_more,yes_sometimes,save_half,monthly,buy a house,248689,69643,1009,5,high,81.0
8,buy_more,no_experience,invest_all,monthly,wealth building,517177,24512,3133,15,high,100.0
6,buy_more,no_experience,save_half,monthly,retirement,864413,301229,1929,12,high,99.0
1,wait_and_see,yes_always,save_all,rarely,vacation,5765,1139,40,2,low,22.2
2,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,18816,1367,171,2,low,31.6
3,buy_more,no_experience,save_half,monthly,buy a house,130461,2195,429,8,medium,72.0
10,wait_and_see,no_experience,save_half,weekly,retirement,454629,70729,1352,15,medium,85.5
0,sell_immediately,yes_always,save_all,quarterly,emergency fund,17365,4708,147,2,medium,7.5
0,wait_and_see,yes_always,save_all,quarterly,emergency fund,13849,1531,121,2,low,14.2
6,wait_and_see,no_experience,invest_all,weekly,wealth building,108352,15477,513,12,medium,95.2
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,25226,11239,64,7,high,61.8
6,wait_and_see,no_never,save_half,weekly,retirement,559883,159893,1480,10,medium,81.7
1,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,23637,1139,380,2,low,25.9
8,buy_more,no_experience,invest_all,weekly,retirement,712219,84857,3542,12,high,100.0
12,buy_more,no_experience,save_half,monthly,wealth building,171865,140918,515,10,high,100.0
6,buy_more,no_never,invest_all,monthly,wealth building,104093,6035,608,15,high,100.0
12,wait_and_see,no_experience,save_half,monthly,wealth building,101373,20227,326,12,medium,86.4
6,wait_and_see,no_experience,save_half,quarterly,buy a house,104108,20997,768,7,medium,65.7
3,buy_more,yes_sometimes,save_half,quarterly,save for a car,24130,2565,438,5,high,78.7
5,buy_more,yes_sometimes,save_half,quarterly,buy a house,47530,3877,189,7,medium,71.8
6,buy_more,no_never,save_half,weekly,wealth building,405072,84466,2394,10,high,100.0
5,wait_and_see,no_experience,invest_all,monthly,buy a house,113747,2399,956,5,medium,72.7
4,wait_and_see,no_experience,invest_all,quarterly,buy a house,274557,13573,1255,7,high,72.7
