years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
0,wait_and_see,yes_always,save_all,rarely,emergency fund,14933,3721,302,2,low,3.5
6,buy_more,no_never,invest_all,quarterly,wealth building,349589,62080,3373,10,medium,38.8
5,wait_and_see,no_experience,save_half,monthly,save for a car,36599,24515,609,5,medium,11.4
10,buy_more,no_never,invest_all,monthly,retirement,512777,600778,2589,15,medium,48.0
8,buy_more,no_never,save_half,weekly,retirement,1644770,2644494,13780,12,high,90.1
6,wait_and_see,no_never,save_half,monthly,buy a house,260779,76910,7064,7,high,49.3
18,buy_more,yes_sometimes,save_half,monthly,wealth building,438100,197698,5810,20,high,70.6
4,wait_and_see,no_experience,save_half,weekly,retirement,2942517,3816218,13467,7,high,60.4
6,buy_more,no_experience,invest_all,monthly,buy a house,215150,190153,3269,12,high,45.3
12,buy_more,yes_sometimes,save_half,monthly,retirement,1076315,788909,5905,20,high,75.1
12,buy_more,yes_sometimes,invest_all,daily,retirement,420504,332119,4665,10,medium,47.0
3,sell_immediately,no_experience,save_half,monthly,buy a house,99781,54812,1812,2,low,9.0
12,buy_more,yes_sometimes,save_half,monthly,retirement,1939139,3049885,9765,15,high,80.3
10,wait_and_see,no_never,invest_all,daily,retirement,2591837,980345,19232,15,high,74.5
3,buy_more,yes_sometimes,save_half,quarterly,wealth building,110264,172080,1045,12,high,67.5
15,buy_more,yes_sometimes,invest_all,monthly,wealth building,327725,299318,509,25,high,68.8
3,sell_immediately,yes_sometimes,save_all,monthly,buy a house,271192,77117,8348,4,high,31.1
10,buy_more,yes_sometimes,invest_all,monthly,retirement,2642273,2727904,30490,10,high,82.0
3,wait_and_see,yes_sometimes,save_all,rarely,save for a car,38619,33859,1174,5,high,27.8
15,buy_more,yes_sometimes,invest_all,monthly,retirement,435159,246575,1124,30,medium,49.4
12,buy_more,no_never,save_half,daily,retirement,2736237,1956504,24097,20,high,84.3
15,wait_and_see,yes_sometimes,save_half,monthly,retirement,334244,544480,790,20,medium,55.7
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,103283,68403,372,30,medium,43.3
