target_value,timeframe,risk_score,recommended_stocks
90192,6,52,"VZ,KO,PEP"
30043,10,93,"SQ,SHOP,AMD"
42954,9,15,"GOOGL,AMZN,AAPL"
11079,3,72,"AMZN,V,GOOGL"
95570,8,61,"MSFT,V,AMZN"
77031,8,21,"VZ,KO,JNJ"
28141,5,83,"PEP,KO,PG"
37617,7,87,"MSFT,GOOGL,V"
46199,6,75,"PG,PEP,JNJ"
84925,1,75,"TSLA,SQ,NVDA"
68385,4,88,"AMD,NVDA,TSLA"
96231,1,100,"V,GOOGL,AMZN"
91418,6,24,"AMD,SHOP,TSLA"
13374,5,3,"TSLA,SHOP,NVDA"
76485,6,22,"JNJ,KO,PEP"
57032,5,53,"SHOP,SQ,AMD"
92155,2,2,"AMD,SHOP,NVDA"
88721,4,88,"AMD,TSLA,NVDA"
50632,7,30,"JNJ,PG,PEP"
40281,6,38,"MSFT,V,AMZN"
15331,9,2,"PEP,VZ,KO"
41588,9,64,"SQ,TSLA,AMD"
45808,2,60,"AAPL,GOOGL,V"
91814,5,21,"AMZN,V,MSFT"
95202,2,33,"PG,VZ,KO"
73302,2,76,"NVDA,TSLA,SHOP"
91641,10,58,"PG,VZ,KO"
41020,4,22,"GOOGL,MSFT,V"
82170,2,89,"AMD,SQ,NVDA"
61059,1,49,"NVDA,SHOP,TSLA"
12427,4,91,"PEP,VZ,KO"
74049,10,59,"JNJ,KO,PEP"
82853,1,42,"SHOP,AMD,TSLA"
91687,1,92,"JNJ,PEP,KO"
56820,2,60,"TSLA,AMD,SHOP"
26422,3,80,"JNJ,PG,PEP"
32643,1,15,"PEP,KO,VZ"
70339,6,62,"AAPL,MSFT,GOOGL"
18435,4,62,"PEP,JNJ,KO"
42903,1,47,"AMD,SHOP,TSLA"
38487,8,62,"SHOP,SQ,NVDA"
54054,9,51,"SHOP,NVDA,SQ"
54639,6,55,"NVDA,SHOP,TSLA"
95060,10,64,"AMD,TSLA,SQ"
96914,8,3,"AMD,SHOP,NVDA"
88065,10,51,"TSLA,AMD,SQ"
88753,10,7,"NVDA,SHOP,AMD"
74896,5,21,"GOOGL,V,AMZN"
53653,7,73,"JNJ,VZ,PEP"
69299,6,39,"JNJ,VZ,PEP"
85703,10,18,"GOOGL,V,AAPL"
49524,1,4,"SHOP,TSLA,SQ"
62812,4,89,"PEP,JNJ,KO"
29906,9,60,"VZ,KO,JNJ"
99901,5,14,"PEP,VZ,KO"
71109,1,9,"SHOP,TSLA,NVDA"
50767,7,90,"MSFT,AMZN,AAPL"
39063,9,53,"V,AAPL,AMZN"
85004,6,2,"GOOGL,MSFT,AAPL"
94799,8,84,"SHOP,NVDA,AMD"
47259,10,92,"JNJ,VZ,KO"
41766,4,60,"AMD,SHOP,SQ"
89363,2,71,"SQ,TSLA,SHOP"
18948,4,44,"TSLA,SQ,AMD"
51243,5,8,"NVDA,AMD,SHOP"
33770,7,47,"SQ,AMD,SHOP"
34961,5,35,"TSLA,NVDA,SQ"
75848,1,78,"VZ,PG,JNJ"
36857,7,81,"JNJ,KO,PG"
27831,6,36,"AMD,NVDA,SQ"
45810,10,50,"SHOP,NVDA,AMD"
99480,9,4,"JNJ,VZ,KO"
9457,5,2,"AMD,TSLA,SQ"
30402,5,6,"GOOGL,AMZN,V"
61103,7,54,"KO,JNJ,VZ"
80248,2,4,"KO,PEP,VZ"
34952,3,54,"VZ,JNJ,PG"
28421,5,93,"SQ,TSLA,SHOP"
93668,6,63,"AMZN,V,AAPL"
99745,6,18,"PEP,VZ,KO"
91838,6,90,"AMZN,GOOGL,V"
48088,10,44,"TSLA,AMD,NVDA"
94989,5,34,"GOOGL,AMZN,MSFT"
82554,7,74,"SHOP,AMD,NVDA"
92321,2,62,"NVDA,SQ,TSLA"
70192,6,100,"GOOGL,AAPL,MSFT"
52760,7,14,"JNJ,PEP,PG"
47236,4,95,"V,GOOGL,MSFT"
22603,7,48,"PG,JNJ,VZ"
60930,6,15,"KO,VZ,JNJ"
56219,2,72,"NVDA,TSLA,SQ"
35385,3,78,"VZ,JNJ,KO"
21912,2,87,"PEP,PG,KO"
7397,10,62,"VZ,KO,PEP"
67823,9,40,"MSFT,AAPL,GOOGL"
31806,3,85,"PG,KO,PEP"
67404,2,80,"PG,VZ,KO"
44502,1,82,"SQ,NVDA,SHOP"
47476,2,53,"AMZN,AAPL,MSFT"
23334,2,24,"AMD,SQ,NVDA"
42761,3,26,"JNJ,VZ,PEP"
77579,1,89,"NVDA,AMD,SQ"
50562,5,60,"KO,VZ,JNJ"
54564,9,41,"NVDA,TSLA,SQ"
14828,5,29,"AAPL,MSFT,AMZN"
13791,9,15,"SQ,NVDA,AMD"
44503,8,45,"KO,JNJ,VZ"
12574,6,65,"PG,KO,PEP"
98682,8,89,"GOOGL,AMZN,AAPL"
37487,5,71,"TSLA,AMD,SQ"
74196,1,9,"PG,JNJ,VZ"
95413,8,88,"VZ,KO,PEP"
23314,1,1,"JNJ,PEP,VZ"
32178,6,8,"JNJ,PG,PEP"
54710,3,88,"TSLA,SHOP,AMD"
44342,3,63,"SQ,SHOP,AMD"
96572,5,11,"PEP,KO,VZ"
20639,8,81,"KO,PG,PEP"
11235,7,8,"MSFT,GOOGL,V"
55464,7,35,"AAPL,MSFT,GOOGL"
61386,10,35,"PG,VZ,KO"
33644,6,33,"V,GOOGL,AMZN"
69979,6,5,"AMD,SQ,NVDA"
12087,7,41,"AMD,SQ,SHOP"
44568,2,28,"GOOGL,AAPL,MSFT"
7330,4,7,"SQ,SHOP,AMD"
27237,8,73,"SHOP,SQ,NVDA"
64324,3,72,"JNJ,VZ,KO"
38461,3,12,"SQ,AMD,TSLA"
59190,6,34,"TSLA,SHOP,AMD"
71640,10,33,"GOOGL,AAPL,AMZN"
89682,9,48,"TSLA,SHOP,SQ"
98715,8,23,"KO,PG,JNJ"
21280,4,62,"AAPL,GOOGL,MSFT"
78565,7,88,"SQ,AMD,TSLA"
72778,5,37,"PG,KO,JNJ"
40088,6,99,"SQ,AMD,TSLA"
30298,1,44,"JNJ,VZ,PEP"
72183,9,86,"NVDA,AMD,SQ"
65020,1,91,"AMD,SHOP,NVDA"
39744,2,35,"KO,PEP,PG"
16090,2,65,"PG,PEP,KO"
83851,2,99,"AAPL,V,AMZN"
70034,9,47,"VZ,KO,JNJ"
59938,1,78,"JNJ,KO,VZ"
67974,7,3,"PEP,JNJ,PG"
83110,3,1,"V,AMZN,GOOGL"
17801,7,5,"JNJ,PEP,PG"
8706,10,90,"AMD,SQ,TSLA"
31481,9,14,"SHOP,TSLA,SQ"
52402,7,27,"AMD,NVDA,TSLA"
18342,1,9,"JNJ,PG,PEP"
77091,4,79,"VZ,JNJ,KO"
31992,7,15,"VZ,PG,KO"
69927,6,90,"PEP,PG,KO"
57294,8,42,"TSLA,SQ,NVDA"
27012,6,77,"NVDA,SQ,AMD"
93491,7,51,"KO,VZ,PG"
46447,3,63,"SQ,TSLA,AMD"
26521,1,96,"TSLA,AMD,SQ"
83158,2,52,"SHOP,NVDA,AMD"
50302,1,96,"V,AAPL,AMZN"
18168,9,4,"JNJ,PEP,PG"
30109,1,94,"GOOGL,AAPL,AMZN"
38998,2,23,"AMD,NVDA,TSLA"
12767,5,15,"MSFT,AMZN,AAPL"
11978,6,43,"PEP,KO,PG"
14663,5,29,"TSLA,NVDA,SHOP"
54754,4,36,"JNJ,PEP,VZ"
80989,6,13,"KO,VZ,PG"
66473,2,32,"GOOGL,MSFT,V"
85641,2,71,"NVDA,AMD,SQ"
21654,9,59,"SHOP,NVDA,SQ"
62106,2,86,"PEP,VZ,JNJ"
72634,8,28,"NVDA,SHOP,TSLA"
94924,5,66,"TSLA,NVDA,SQ"
13590,5,42,"MSFT,GOOGL,AMZN"
34298,3,45,"AMD,NVDA,SQ"
87417,6,62,"KO,VZ,JNJ"
34914,3,57,"JNJ,VZ,KO"
23489,8,6,"PEP,PG,KO"
61998,10,28,"AMD,SQ,SHOP"
83195,6,28,"AMZN,GOOGL,AAPL"
25836,4,44,"AMZN,AAPL,MSFT"
7927,4,84,"SQ,NVDA,SHOP"
55247,10,30,"AMD,SHOP,TSLA"
72887,5,62,"VZ,KO,JNJ"
45018,9,75,"SQ,SHOP,TSLA"
35088,8,92,"SQ,SHOP,NVDA"
64130,7,89,"TSLA,SQ,AMD"
40496,4,62,"SQ,AMD,SHOP"
92717,6,97,"PG,KO,JNJ"
98594,10,1,"MSFT,GOOGL,AMZN"
49364,10,27,"TSLA,AMD,SQ"
6282,4,62,"TSLA,AMD,SQ"
76590,1,77,"AAPL,GOOGL,MSFT"
97877,8,3,"MSFT,AMZN,GOOGL"
