Price,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX
Date,,,,,
2015-05-22,42.14853286743164,42.28771962459563,41.92747375186314,42.025724329824875,5857700
2015-05-26,41.624542236328125,42.39415302354499,41.47716949276294,42.06666046702368,7369900
2015-05-27,42.238590240478516,42.32865169992996,41.681849512260484,41.78828606645128,6213600
2015-05-28,42.418724060058594,42.52515751837047,42.12397852546712,42.44328514686429,5874400
2015-05-29,42.54153060913086,42.7625897496393,42.1239765369909,42.533344621658976,9399100
2015-06-01,42.7544059753418,42.95090091714485,42.304098560312326,42.541532811285904,7075100
2015-06-02,42.353214263916016,42.819893549028826,42.295902991935854,42.55789827048234,7877800
2015-06-03,42.672515869140625,42.795327508139856,42.30408407537265,42.57426843187907,5522700
2015-06-04,42.345027923583984,42.72164574293973,42.22221627137969,42.467836452558224,6230800
2015-06-05,42.72983932495117,42.93452336619142,41.97660355233775,42.22222377717993,7123200
2015-06-08,42.1894645690918,42.76258038678975,42.15671750314358,42.574271483860265,6320200
2015-06-09,42.19766616821289,42.32866384046996,41.8374202270828,42.042104285186404,5034000
2015-06-10,43.13920211791992,43.27838887297683,42.295904970844745,42.410527520167946,8003600
2015-06-11,42.975460052490234,43.3930140969375,42.93452074815407,43.2374553594435,6030200
2015-06-12,43.090084075927734,43.180145551364866,42.70527708932564,42.90996112505348,5236700
2015-06-15,42.79533004760742,42.950888759438186,42.58245694380753,42.762579858833604,5555000
2015-06-16,43.36845397949219,43.507637622999844,42.73802678207578,42.79533806154722,6106500
2015-06-17,43.58951950073242,43.777828464207246,43.16377627422071,43.46670781344273,6735300
2015-06-18,44.30179977416992,44.44098337715717,43.720498038347465,43.80237037854825,10711000
2015-06-19,44.15443420410156,44.57198820382181,44.0807478367121,44.27724585749403,10609700
2015-06-22,44.1298713684082,44.563800446212674,44.113496273724834,44.48192809602578,7100700
2015-06-23,44.310001373291016,44.35912666866049,43.982508773853255,44.244504102695736,5679000
2015-06-24,43.97431945800781,44.18719261371912,43.81876070824237,44.00706965476812,5525000
2015-06-25,44.26905822753906,44.58017880282789,44.21174695356878,44.2854333234206,5389900
2015-06-26,44.71937561035156,44.82581220332993,44.457380245505654,44.58837792792861,6637200
2015-06-29,43.843318939208984,44.531057410237885,43.8105687445813,44.10531424976947,6534100
2015-06-30,43.9006462097168,44.45738722826743,43.507653100721924,44.334578638524306,9794000
2015-07-01,44.1216926574707,44.383687987688326,43.884258413451384,44.09713157127239,6107700
2015-07-02,44.408260345458984,44.78487831134751,44.17082605787355,44.23632334083051,5684700
2015-07-06,44.46555709838867,44.54742945611927,43.90881632077593,43.91700230725689,5396400
2015-07-07,44.52287292480469,44.653870584503046,43.68776167301617,44.449186546022446,9462300
2015-07-08,43.71232604980469,44.22813074012124,43.64682877663875,44.09713307055855,8139300
2015-07-09,44.2526969909668,44.62112895561351,44.11351331722869,44.26907209197678,7681000
2015-07-10,44.678436279296875,44.809433952510666,44.359129646040195,44.65387519157894,8087800
2015-07-13,45.603599548339844,45.75915827667897,44.948611319503755,45.03048367689693,7477200
2015-07-14,45.64454650878906,45.89835587382889,45.456237543719894,45.81648037386557,7028000
2015-07-15,45.30885696411133,45.80828649656945,45.26792078279502,45.78372228919532,8212600
2015-07-16,45.63636016845703,45.98022789595811,45.57085976899152,45.89835551985717,7305500
2015-07-17,45.59540557861328,45.76734250798044,45.333410315005125,45.76734250798044,8715400
